Date,State,Event
2024-01-01,National,ISRO launched XPoSat to study X-Ray sources.
2024-01-02,Maharashtra,Truckers in Maharashtra protested against the new hit-and-run law.
2024-01-03,Uttar Pradesh,Court sentenced two men to death over the 2005 Jaunpur train bombing.
2024-01-05,West Bengal,ED officers were attacked in Sandeshkhali during a political investigation.
2024-01-06,National,ISRO's Aditya-L1 successfully entered its final orbit around Sun-Earth L1.
2024-01-07,Chhattisgarh,Tribal protests in Hasdeo Arand against tree felling for Parsa Coal Mines.
2024-01-10,Tamil Nadu,DMK announced a major state policy overhaul ahead of elections.
2024-01-12,National,"PM Modi inaugurated the Mumbai Trans Harbour Link, India's longest bridge."
2024-01-15,Karnataka,Karnataka government faced opposition over the state budget allocation.
2024-01-18,Bihar,Political clashes broke out between ruling and opposition parties in Bihar.
2024-01-20,Punjab,Farmers in Punjab resumed protests demanding MSP guarantees.
2024-01-22,Rajasthan,Rajasthan government announced new welfare schemes ahead of elections.
2024-01-25,Gujarat,Gujarat witnessed protests over the state's industrial policy reforms.
2024-01-28,Odisha,Odisha CM announced major infrastructure projects for coastal development.
2024-01-30,Assam,Assam government launched a new initiative for tribal welfare and education.
2024-02-01,National,Union Budget 2024 was presented in Parliament with key policy announcements.
2024-02-03,Delhi,AAP government in Delhi faced opposition pressure over pollution control policies.
2024-02-05,Maharashtra,Maharashtra announced new infrastructure projects to boost economic growth.
2024-02-07,West Bengal,Political clashes erupted in Kolkata over municipal elections.
2024-02-10,Tamil Nadu,Tamil Nadu CM introduced new social welfare schemes for women and students.
2024-02-12,Karnataka,Karnataka government faced farmer protests over water-sharing disputes.
2024-02-15,Bihar,Bihar Assembly witnessed heated debates over employment policies.
2024-02-18,Uttar Pradesh,Major political rally in Lucknow set the stage for upcoming elections.
2024-02-20,Punjab,Punjab government approved subsidies for farmers amid ongoing protests.
2024-02-22,Rajasthan,Rajasthan CM launched a new employment generation initiative.
2024-02-25,Gujarat,Gujarat announced an investment summit to attract global businesses.
2024-02-27,Odisha,Odisha witnessed political tensions ahead of upcoming state elections.
2024-02-29,Assam,Assam government expanded its welfare programs for tea garden workers.
2024-03-01,National,Union Budget 2024 presented with key policy announcements.
2024-03-03,Bihar,"INDIA bloc held its first joint rally in Patna, criticizing BJP's unfulfilled promises."
2024-03-05,Delhi,Protests erupted over the implementation of the Citizenship Amendment Act.
2024-03-07,Maharashtra,Shiv Sena (UBT) faction adopted the torch as its electoral symbol after a Supreme Court ruling.
2024-03-10,West Bengal,Clashes occurred in Kolkata during municipal elections.
2024-03-12,Tamil Nadu,Chief Minister introduced new social welfare schemes for women and students.
2024-03-15,Karnataka,Farmer protests intensified over water-sharing disputes.
2024-03-17,Maharashtra,INDIA bloc held a rally at Shivaji Park in Mumbai; Rahul Gandhi criticized rising inflation and unemployment.
2024-03-20,Bihar,"Rashtriya Janata Dal's Jan Vishwas Yatra concluded, covering 33 districts."
2024-03-22,Delhi,Chief Minister Arvind Kejriwal arrested in connection with the alleged Delhi liquor scam.
2024-03-25,Punjab,State government approved subsidies for farmers amid ongoing protests.
2024-03-27,Rajasthan,Chief Minister launched a new employment generation initiative.
2024-03-29,Gujarat,State announced an investment summit to attract global businesses.
2024-03-31,Delhi,"INDIA bloc held a 'Loktantra Bachao' rally at Ramlila Maidan, protesting Kejriwal's arrest and alleging political motives."
2024-04-19,National,"First phase of Lok Sabha elections commenced, covering 102 constituencies."
2024-04-22,Manipur,Repolling conducted in 11 polling stations of Inner Manipur due to violence.
2024-04-24,Arunachal Pradesh,Eight polling stations in Arunachal Pradesh underwent repolling due to violence and EVM damage.
2024-04-26,National,"Second phase of Lok Sabha elections took place, covering key constituencies."
2024-04-29,Karnataka,Repolling held at a polling station in Chamarajanagar due to EVM damage and violence.
2024-04-30,Manipur,Repolling in six polling stations of Outer Manipur following violence and forced voting allegations.
2024-05-02,Rajasthan,Repolling conducted at a polling station in Ajmer due to a misplaced voters' register.
2024-05-07,National,Third phase of Lok Sabha elections held with a voter turnout of 65.68%.
2024-05-13,National,"Fourth phase of Lok Sabha elections conducted, covering 96 constituencies."
2024-05-20,National,"Fifth phase of general elections held, involving 49 constituencies."
2024-05-25,National,"Sixth phase of voting conducted, covering 58 constituencies nationwide."
2024-06-01,National,Seventh and final phase of Lok Sabha elections concluded.
2024-06-02,Uttar Pradesh,Repolling conducted in 5 constituencies due to reported irregularities.
2024-06-03,National,Counting of votes commenced for all phases of the general elections.
2024-06-04,National,"Official election results announced; NDA secured 293 seats, INDIA alliance won 234 seats."
2024-06-05,West Bengal,Trinamool Congress held a victory rally after securing 29 seats in the state.
2024-06-06,Kerala,Left Democratic Front celebrated winning the majority of seats in the state.
2024-06-07,National,Prime Minister Narendra Modi confirmed support of 293 MPs to President Droupadi Murmu.
2024-06-08,National,Opposition leaders held a meeting to discuss future strategies post-election results.
2024-06-09,National,Narendra Modi sworn in for his third term as Prime Minister in a grand ceremony in Delhi.
2024-06-10,Andhra Pradesh,Telugu Desam Party organized a public meeting to thank supporters for their alliance with NDA.
2024-06-11,Bihar,Janata Dal (United) leaders met to discuss their role in the new government.
2024-06-12,Tamil Nadu,Dravida Munnetra Kazhagam reviewed election performance and future plans.
2024-06-13,Maharashtra,Shiv Sena (UBT) and allies held a press conference on their electoral gains.
2024-06-14,Odisha,Biju Janata Dal analyzed election outcomes and strategized for upcoming state elections.
2024-06-15,National,Parliament session commenced with newly elected members taking oath.
